nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2020-01-06;1330.396;;5934.427;;22.4183
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;SUL;S;SUL;;;2020-01-06;76.035;;376.527;;20.1938
GARIBALDI;89;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2020-01-06;46.821;;102.272;;45.7809
GUARAPIRANGA;117;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2020-01-06;279.593;;400.219;;69.86
I. SOLTEIRA;34;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;;;2020-01-06;2113.83;;3680.139;;57.4389
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;NE;NORDESTE;2020-01-06;439.03;246.814;1982.135;1006.172;22.1493
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2020-01-06;1228.62;;3415.157;;35.9755
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-06;2572.995;;15642.114;;16.4492
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2020-01-06;597.265;;1195.024;;49.9793
JORDÃO;73;Reservatório sem usina;IGUACU;IGUACU;S;SUL;;;2020-01-06;6.428;;20.686;;31.0742
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2020-01-06;1238.678;;4115.205;;30.1
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2020-01-06;407.467;;481.526;;84.6199
M. MORAES;7;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2020-01-06;1574.508;;4341.564;;36.2659
MACHADINHO;91;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2020-01-06;171.817;;891.947;;19.2631
MANSO;278;Reservatório com Usina;PARAGUAI;SUDESTE;SE;SUDESTE;;;2020-01-06;278.139;;558.313;;49.8178
MARIMBONDO;17;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2020-01-06;983.637;;5357.286;;18.3607
MAUA;57;Reservatório com Usina;PARANAPANEMA;IGUACU;S;SUL;SE;SUDESTE;2020-01-06;107.018;186.81;259.928;451.743;41.1722
MIRANDA;26;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-06;232.336;;268.245;;86.6134
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2020-01-06;3541.636;;22650.266;;15.6362
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2020-01-06;1372.854;;4494.109;;30.5479
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2020-01-06;481.622;;1724.187;;27.9333
PASSO REAL;111;Reservatório com Usina;JACUI;SUL;S;SUL;;;2020-01-06;2016.908;;2916.33;;69.1591
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;NORDESTE;NE;NORDESTE;;;2020-01-06;254.79;;328.609;;77.5359
PEIXE ANGICAL;257;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;N;NORTE;2020-01-06;44.829;52.679;109.015;145.019;41.1219
PORTO ESTRELA;135;Reservatório com Usina;DOCE;SUDESTE;SE;SUDESTE;;;2020-01-06;7.079;;12.764;;55.4607
