nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
PARAGUAI;2012-01-22;563.0;371.0;65.91999816894531
PARAIBA DO SUL;2012-01-22;7360.0;5453.0;74.08000183105469
PARANA;2012-01-22;6059.0;3742.0;61.7599983215332
PARANAIBA;2012-01-22;75422.0;53191.0;70.5199966430664
PARANAPANEMA;2012-01-22;11598.0;8167.0;70.41999816894531
PARNAIBA;2012-01-22;264.0;95.0;35.97999954223633
SAO FRANCISCO;2012-01-22;52835.0;36000.0;68.13999938964844
TIETE;2012-01-22;7353.0;4806.0;65.36000061035156
TOCANTINS;2012-01-22;47794.0;33557.0;70.20999908447266
URUGUAI;2012-01-22;5905.0;2763.0;46.790000915527344
AMAZONAS;2012-01-23;312.0;84.0;26.889999389648438
CAPIVARI;2012-01-23;385.0;322.0;83.5999984741211
DOCE;2012-01-23;13.0;13.0;103.36000061035156
GRANDE;2012-01-23;51488.0;43739.0;84.94999694824219
IGUACU;2012-01-23;10248.0;6791.0;66.2699966430664
JACUI;2012-01-23;3197.0;2005.0;62.720001220703125
JEQUITINHONHA;2012-01-23;3024.0;2661.0;87.98999786376953
PARAGUACU;2012-01-23;304.0;99.0;32.540000915527344
PARAGUAI;2012-01-23;563.0;371.0;65.91999816894531
PARAIBA DO SUL;2012-01-23;7360.0;5460.0;74.18000030517578
PARANA;2012-01-23;6059.0;3670.0;60.56999969482422
PARANAIBA;2012-01-23;75422.0;53418.0;70.83000183105469
PARANAPANEMA;2012-01-23;11598.0;8193.0;70.63999938964844
PARNAIBA;2012-01-23;264.0;97.0;36.7400016784668
SAO FRANCISCO;2012-01-23;52835.0;35960.0;68.05999755859375
TIETE;2012-01-23;7353.0;4886.0;66.44000244140625
TOCANTINS;2012-01-23;47794.0;33871.0;70.87000274658203
URUGUAI;2012-01-23;5905.0;2752.0;46.599998474121094
AMAZONAS;2012-01-24;312.0;83.0;26.56999969482422
CAPIVARI;2012-01-24;385.0;320.0;83.08999633789062
DOCE;2012-01-24;13.0;13.0;103.36000061035156
